species_name,candidate_type,source_class,source_order,source_family,source_agw_group,decision,review_notes
Pluvier grand gravelot,Moyens Oiseaux,Aves,Charadriiformes,Charadriidés,Limicole,pending_domain_review,source description exact-name membership
Pluvier gravelot à collier interrompu,Moyens Oiseaux,Aves,Charadriiformes,Charadriidés,Limicole,pending_domain_review,source description exact-name membership
Pluvier guignard,Moyens Oiseaux,Aves,Charadriiformes,Charadriidés,Limicole,pending_domain_review,source description exact-name membership
Pluvier petit gravelot,Moyens Oiseaux,Aves,Charadriiformes,charadriidés,Limicole,pending_domain_review,source description exact-name membership
Pouillot de Bonelli,Petits Oiseaux,Aves,Passériformes,Phylloscopidés,Autre oiseau,pending_domain_review,source description exact-name membership
Pouillot de Pallas,Petits Oiseaux,Aves,Passériformes,Phylloscopidés,Autre oiseau,pending_domain_review,source description exact-name membership
Pouillot de Schwarz,Petits Oiseaux,Aves,Passériformes,Phylloscopidés,Autre oiseau,pending_domain_review,source description exact-name membership
Pouillot fitis,Petits Oiseaux,Aves,Passériformes,Phylloscopidés,Autre oiseau,pending_domain_review,source description exact-name membership
Pouillot siffleur,Petits Oiseaux,Aves,Passériformes,Phylloscopidés,Autre oiseau,pending_domain_review,source description exact-name membership
Pouillot véloce,Petits Oiseaux,Aves,Passériformes,Phylloscopidés,Autre oiseau,pending_domain_review,source description exact-name membership
Pouillot à grands sourcils,Petits Oiseaux,Aves,Passériformes,Phylloscopidés,Autre oiseau,pending_domain_review,source description exact-name membership
Putois,Mustélidés,Mammalia,Musteloidea,Mustélidés,Mustélidé,pending_domain_review,taxonomy: AGW Mustélidé
Pygargue à queue blanche,Rapaces,Aves,Accipitriformes,Accipitridés,Rapace,pending_domain_review,taxonomy: AGW Rapace
Pélobate brun,"Reptiles, Amphibiens",Amphibia,Anura,Pelobatidae,Batracien,pending_domain_review,taxonomy: class/AGW amphibian or reptile
