species_name,candidate_type,source_class,source_order,source_family,source_agw_group,decision,review_notes
Hérisson à ventre blanc,Rongeurs,Mammalia,Érinaceomorphes,Érinacéidés,Micro-mammifère,pending_domain_review,taxonomy: AGW Micro-mammifère
Héron cendré,Grands Oiseaux,Aves,Pélécaniformes,Ardeidés,Grand échassier,pending_domain_review,source description exact-name membership
Héron garde-boeufs,Grands Oiseaux,Aves,Pélécaniformes,Ardeidés,Grand échassier,pending_domain_review,source description exact-name membership
Héron pourpré,Grands Oiseaux,Aves,Pélécaniformes,Ardeidés,Grand échassier,pending_domain_review,source description exact-name membership
Ibis falcinelle,Grands Oiseaux,Aves,Pélécaniformes,Threskiornithidés,Grand échassier,pending_domain_review,source description exact-name membership
Jaseur boréal,Petits Oiseaux,Aves,Passériformes,Bombycillidés,Autre oiseau,pending_domain_review,source description exact-name membership
Labbe parasite,Grands Oiseaux,Aves,Charadriiformes,Stercorariidés,Autre oiseau d'eau,pending_domain_review,source description exact-name membership
Labbe pomarin,Grands Oiseaux,Aves,Charadriiformes,Stercorariidés,Autre oiseau d'eau,pending_domain_review,source description exact-name membership
Labbe à longue queue,Grands Oiseaux,Aves,Charadriiformes,Stercorariidés,Autre oiseau d'eau,pending_domain_review,source description exact-name membership
Lagopède,Grands Oiseaux,Aves,Galliformes,Phasianidés,Autre oiseau,pending_domain_review,source description exact-name membership
Lapin de Garenne,Lagomorphe,Mammalia,Lagomorpha,Léporidés,Mammifère taille moyenne,pending_domain_review,taxonomy: order Lagomorpha
Lapin domestique,"Autres mammifères (Procyonidé, Viverridés, ...)",Mammalia,Lagomorpha,Léporidés,Domestique,pending_domain_review,taxonomy: AGW Domestique
Linotte mélodieuse,Petits Oiseaux,Aves,Passériformes,Fringillidés,Autre oiseau,pending_domain_review,source description exact-name membership
Linotte à bec jaune,Petits Oiseaux,Aves,Passériformes,Fringillidés,Autre oiseau,pending_domain_review,source description exact-name membership
Lièvre d'Europe,Lagomorphe,Mammalia,Lagomorpha,Léporidés,Mammifère taille moyenne,pending_domain_review,taxonomy: order Lagomorpha
Locustelle fluviatile,Petits Oiseaux,Aves,Passériformes,Locustellidés,Autre oiseau,pending_domain_review,source description exact-name membership
Locustelle luscinoïde,Petits Oiseaux,Aves,Passériformes,Locustellidés,Autre oiseau,pending_domain_review,source description exact-name membership
Locustelle tachetée,Petits Oiseaux,Aves,Passériformes,Locustellidés,Autre oiseau,pending_domain_review,source description exact-name membership
Loir,Rongeurs,Mammalia,Rodentia,Muscardinidés,Micro-mammifère,pending_domain_review,taxonomy: AGW Micro-mammifère
Loriot d'Europe,Moyens Oiseaux,Aves,Passériformes,Oriolidés,Autre oiseau,pending_domain_review,source description exact-name membership
Loup,Canidés,Mammalia,Carnivora,Canidés,Mammifère taille moyenne,pending_domain_review,taxonomy: family Canidae
Loutre,Mustélidés,Mammalia,Musteloidea,Mustélidés,Mustélidé,pending_domain_review,taxonomy: AGW Mustélidé
Lynx boréal,"Autres mammifères (Procyonidé, Viverridés, ...)",Mammalia,Carnivora,Félidés,Mammifère taille moyenne,pending_domain_review,taxonomy: Mammalia residual group
Lérot,Rongeurs,Mammalia,Rodentia,Muscardinidés,Micro-mammifère,pending_domain_review,taxonomy: AGW Micro-mammifère
Lézard des murailles,"Reptiles, Amphibiens",Reptilia,Squamata,Lacertidae,Reptile,pending_domain_review,taxonomy: class/AGW amphibian or reptile
Lézard des souches,"Reptiles, Amphibiens",Reptilia,Squamata,Lacertidae,Reptile,pending_domain_review,taxonomy: class/AGW amphibian or reptile
Lézard vivipare,"Reptiles, Amphibiens",Reptilia,Squamata,Lacertidae,Reptile,pending_domain_review,taxonomy: class/AGW amphibian or reptile
Macareux moine,Grands Oiseaux,Aves,Charadriiformes,Alcidés,Autre oiseau d'eau,pending_domain_review,source description exact-name membership
Macreuse brune,Grands Oiseaux,Aves,Ansériformes,Anatidés,Anatidé  / grèbe,pending_domain_review,source description exact-name membership
Macreuse noire,Grands Oiseaux,Aves,Ansériformes,Anatidés,Anatidé  / grèbe,pending_domain_review,source description exact-name membership
Marouette de Baillon,Moyens Oiseaux,Aves,Gruiformes,Rallidés,Autre oiseau d'eau,pending_domain_review,source description exact-name membership
