ID,Species,CreavesSpecies,Class,Order,Family,NativeStatus,AgwGroup,SubsideGroup,Game,Huntable
SP272,Milvus milvus,Milan royal,Aves,Accipitriformes,Accipitridés,NS1,Rapace,SG1,0,0
SP273,Monticola saxatilis,Monticole de roche,Aves,Passériformes,Turdidé,NS1,Autre oiseau,SG2,0,0
SP274,Morus bassanus,Fou de Bassan,Aves,Suliformes,Sulidés,NS1,Autre oiseau d'eau,SG1,0,0
SP275,Motacilla alba,Bergeronnette grise,Aves,Passériformes,Motacillidés,NS1,Autre oiseau,SG2,0,0
SP276,Motacilla cinerea,Bergeronnette des ruisseaux,Aves,Passériformes,Motacillidés,NS1,Autre oiseau,SG2,0,0
SP277,Motacilla flava,Bergeronnette printanière,Aves,Passériformes,Motacillidés,NS1,Autre oiseau,SG2,0,0
SP278,Mus domesticus,Souris,Mammalia,Muroidea,Muridés,NS1,Micro-mammifère,SG3,0,0
SP279,Muscardinus avellanarius,Muscardin,Mammalia,Rodentia,Muscardinidés,NS1,Micro-mammifère,SG3,0,0
SP28,Anas strepera,Canard chipeau,Aves,Ansériformes,Anatidés,NS1,Anatidé  / grèbe,SG1,1,0
SP280,Muscicapa striata,Gobemouche gris,Aves,Passériformes,Muscicapidés,NS1,Autre oiseau,SG2,0,0
SP281,Mustela erminea,Hermine,Mammalia,Musteloidea,Mustélidés,NS1,Mustélidé,SG3,1,0
SP282,Mustela nivalis,Belette,Mammalia,Musteloidea,Mustélidés,NS1,Mustélidé,SG3,1,0
SP283,Mustela putorius,Putois,Mammalia,Musteloidea,Mustélidés,NS1,Mustélidé,SG3,1,0
SP284,Mustela vison (Neovison vison),Vison américain,Mammalia,Musteloidea,Mustélidés,NS2,Mustélidé,SG3,0,0
SP285,Myocastor coypus,Ragondin,Mammalia,Caviomorpha,Echimyidés,NS3,Mammifère taille moyenne,SG3,0,0
SP286,Myotis alcathoe,Murin,Mammalia,Chiroptera,Verspertilionidés,NS1,Chauve-souris,SG2,0,0
SP287,Myotis bechsteinii,Murin,Mammalia,Chiroptera,Verspertilionidés,NS1,Chauve-souris,SG2,0,0
SP288,Myotis brandtii,Murin,Mammalia,Chiroptera,Verspertilionidés,NS1,Chauve-souris,SG2,0,0
SP289,Myotis dasycneme,Murin,Mammalia,Chiroptera,Verspertilionidés,NS1,Chauve-souris,SG2,0,0
SP29,Anguis fragilis,Orvet fragile,Reptilia,Squamata,Anguidae,NS1,Reptile,SG2,0,0
SP290,Myotis daubentonii,Murin de Daubenton,Mammalia,Chiroptera,Verspertilionidés,NS1,Chauve-souris,SG2,0,0
SP291,Myotis emarginatus,Murin,Mammalia,Chiroptera,Verspertilionidés,NS1,Chauve-souris,SG2,0,0
SP292,Myotis myotis,Murin,Mammalia,Chiroptera,Verspertilionidés,NS1,Chauve-souris,SG2,0,0
SP293,Myotis mystacinus,Murin,Mammalia,Chiroptera,Verspertilionidés,NS1,Chauve-souris,SG2,0,0
SP294,Myotis nattereri,Murin,Mammalia,Chiroptera,Verspertilionidés,NS1,Chauve-souris,SG2,0,0
SP295,Natrix natrix,Couleuvre à collier,Reptilia,Squamata,Natricidae,NS1,Reptile,SG2,0,0
SP296,Neomys anomalus,Musaraigne,Mammalia,Rodentia,Soricidés,NS1,Micro-mammifère,SG3,0,0
SP297,Neomys fodiens,Musaraigne,Mammalia,Rodentia,Soricidés,NS1,Micro-mammifère,SG3,0,0
SP298,Neophron percnopterus,Vautour percnoptère,Aves,Accipitriformes,Accipitridés,NS1,Rapace,SG1,0,0
SP299,Netta rufina,Nette rousse,Aves,Ansériformes,Anatidés,NS1,Anatidé  / grèbe,SG1,0,0
SP3,Acrocephalus agricola,Rousserolle isabelle,Aves,Passériformes,Acrocéphalidés,NS1,Autre oiseau,SG2,0,0
SP30,Anser,Oie domestique,Aves,Ansériformes,Anatidés,NS4,Domestique,SG4,0,0
SP300,Nucifraga caryocatactes,Cassenoix moucheté,Aves,Passériformes,Corvidés,NS1,Corvidé,SG2,0,0
SP301,Numenius arquata,Courlis cendré,Aves,Charadriiformes,Scolopacidés,NS1,Limicole,SG1,0,0
SP302,Numenius phaeopus,Courlis corlieu,Aves,Charadriiformes,Scolopacidés,NS1,Limicole,SG1,0,0
SP303,Numenius tenuirostris,Courlis à bec grèle,Aves,Charadriiformes,Scolopacidés,NS1,Limicole,SG1,0,0
SP304,Nyctalus leisleri,Noctule,Mammalia,Chiroptera,Verspertilionidés,NS1,Chauve-souris,SG2,0,0
SP305,Nyctalus noctula,Noctule commune,Mammalia,Chiroptera,Verspertilionidés,NS1,Chauve-souris,SG2,0,0
SP306,Nyctereutes procyonoides,Chien viverrin,Mammalia,Carnivora,Canidés,NS3,Mammifère taille moyenne,SG3,0,0
SP307,Nycticorax nycticorax,Bihoreau gris,Aves,Pélécaniformes,Ardeidés,NS1,Grand échassier,SG1,0,0
SP308,Nymphicus hollandicus,Calopsitte,Aves,Psittaciformes,Psittacidés,NS2,Autre oiseau,SG2,0,0
SP309,Oceanodroma leucorhoa,Océanite culblanc,Aves,Procellariiformes,Hydrobatidés,NS1,Autre oiseau d'eau,SG1,0,0
SP31,Anser albifrons,Oie rieuse,Aves,Ansériformes,Anatidés,NS1,Anatidé  / grèbe,SG1,1,0
SP310,Oenanthe hispanica,Traquet oreillard,Aves,Passériformes,Muscicapidés,NS1,Autre oiseau,SG2,0,0
SP311,Oenanthe oenanthe,Traquet motteux,Aves,Passériformes,Muscicapidés,NS1,Autre oiseau,SG2,0,0
SP312,Oisillon,Oisillon,Aves,oisillon,oisillon,NS1,Autre oiseau,SG2,0,0
SP313,Ondatra zibethicus,Rat musqué,Mammalia,Muroidea,Cricétidés,NS3,Mammifère taille moyenne,SG3,0,0
SP314,Oriolus oriolus,Loriot d'Europe,Aves,Passériformes,Oriolidés,NS1,Autre oiseau,SG2,0,0
SP315,Oryctolagus cuniculus,Lapin de Garenne,Mammalia,Lagomorpha,Léporidés,NS1,Mammifère taille moyenne,SG3,1,1
SP316,Oryctolagus cuniculus domesticus,Lapin domestique,Mammalia,Lagomorpha,Léporidés,NS4,Domestique,SG4,0,0
SP317,Otis tarda,Outarde barbue,Aves,Otidiformes,Otididés,NS1,Autre oiseau,SG1,0,0
SP318,Otus scops,Petit-duc scops,Aves,Strigiformes,Strigidés,NS1,Rapace,SG1,0,0
SP319,Ovis gmelini musimon x Ovis sp.,Mouflon x Mouton domestique,Mammalia,Artiodactyla,Bovidée,NS2,Ongulé,SG3,1,1
SP32,Anser anser,Oie cendrée,Aves,Ansériformes,Anatidés,NS1,Anatidé  / grèbe,SG1,1,0
