ID,Country,Region,Province,Municipality,SubMunicipality,PostalCode,Locality,Zoning,Direction
L141,Belgique,Wallonie,BRABANT WALLON,VILLERS-LA-VILLE,1,1495,Sart-Dames-Avelines,NIVELLES,MONS
L142,Belgique,Wallonie,BRABANT WALLON,VILLERS-LA-VILLE,1,1495,Marbais,NIVELLES,MONS
L143,Belgique,Wallonie,BRABANT WALLON,VILLERS-LA-VILLE,1,1495,Mellery,NIVELLES,MONS
L144,Belgique,Wallonie,BRABANT WALLON,VILLERS-LA-VILLE,1,1495,Tilly,NIVELLES,MONS
L145,Belgique,Flandre,BRABANT FLAMAND,HALLE,0,1500,Halle,Localité non DNF,Localité non DNF
L146,Belgique,Flandre,BRABANT FLAMAND,HALLE,1,1501,Buizingen,Localité non DNF,Localité non DNF
L147,Belgique,Flandre,BRABANT FLAMAND,HALLE,1,1502,Lembeek,Localité non DNF,Localité non DNF
L148,Belgique,Flandre,BRABANT FLAMAND,HERNE,1,1540,Herfelingen,Localité non DNF,Localité non DNF
L149,Belgique,Flandre,BRABANT FLAMAND,HERNE,0,1540,Herne,Localité non DNF,Localité non DNF
L150,Belgique,Flandre,BRABANT FLAMAND,HERNE,1,1541,Sint-Pieters-Kapelle,Localité non DNF,Localité non DNF
L151,Belgique,Flandre,BRABANT FLAMAND,BIÉVÈNE,0,1547,Biévène,Localité non DNF,Localité non DNF
L152,Belgique,Flandre,BRABANT FLAMAND,HOEILAART,0,1560,Hoeilaart,Localité non DNF,Localité non DNF
L153,Belgique,Flandre,BRABANT FLAMAND,GALMAARDEN,0,1570,Galmaarden,Localité non DNF,Localité non DNF
L154,Belgique,Flandre,BRABANT FLAMAND,GALMAARDEN,1,1570,Tollembeek,Localité non DNF,Localité non DNF
L155,Belgique,Flandre,BRABANT FLAMAND,GALMAARDEN,1,1570,Vollezele,Localité non DNF,Localité non DNF
L156,Belgique,Flandre,BRABANT FLAMAND,SINT-PIETERS-LEEUW,1,1600,Oudenaken,Localité non DNF,Localité non DNF
L157,Belgique,Flandre,BRABANT FLAMAND,SINT-PIETERS-LEEUW,1,1600,Sint-Laureins-Berchem,Localité non DNF,Localité non DNF
L158,Belgique,Flandre,BRABANT FLAMAND,SINT-PIETERS-LEEUW,0,1600,Sint-Pieters-Leeuw,Localité non DNF,Localité non DNF
L159,Belgique,Flandre,BRABANT FLAMAND,SINT-PIETERS-LEEUW,1,1601,Ruisbroek,Localité non DNF,Localité non DNF
L160,Belgique,Flandre,BRABANT FLAMAND,SINT-PIETERS-LEEUW,1,1602,Vlezenbeek,Localité non DNF,Localité non DNF
L161,Belgique,Flandre,BRABANT FLAMAND,DROGENBOS,0,1620,Drogenbos,Localité non DNF,Localité non DNF
L162,Belgique,Flandre,BRABANT FLAMAND,LINKEBEEK,0,1630,Linkebeek,Localité non DNF,Localité non DNF
L163,Belgique,Flandre,BRABANT FLAMAND,RHODE-SAINT-GENÈSE,0,1640,Rhode-Saint-Genèse,Localité non DNF,Localité non DNF
L164,Belgique,Flandre,BRABANT FLAMAND,BEERSEL,0,1650,Beersel,Localité non DNF,Localité non DNF
L165,Belgique,Flandre,BRABANT FLAMAND,BEERSEL,1,1651,Lot,Localité non DNF,Localité non DNF
L166,Belgique,Flandre,BRABANT FLAMAND,BEERSEL,1,1652,Alsemberg,Localité non DNF,Localité non DNF
L167,Belgique,Flandre,BRABANT FLAMAND,BEERSEL,1,1653,Dworp,Localité non DNF,Localité non DNF
L168,Belgique,Flandre,BRABANT FLAMAND,BEERSEL,1,1654,Huizingen,Localité non DNF,Localité non DNF
L169,Belgique,Flandre,BRABANT FLAMAND,PEPINGEN,1,1670,Bogaarden,Localité non DNF,Localité non DNF
L170,Belgique,Flandre,BRABANT FLAMAND,PEPINGEN,1,1670,Heikruis,Localité non DNF,Localité non DNF
L171,Belgique,Flandre,BRABANT FLAMAND,PEPINGEN,0,1670,Pepingen,Localité non DNF,Localité non DNF
L172,Belgique,Flandre,BRABANT FLAMAND,PEPINGEN,1,1671,Elingen,Localité non DNF,Localité non DNF
L173,Belgique,Flandre,BRABANT FLAMAND,PEPINGEN,1,1673,Beert,Localité non DNF,Localité non DNF
L174,Belgique,Flandre,BRABANT FLAMAND,PEPINGEN,1,1674,Bellingen,Localité non DNF,Localité non DNF
L175,Belgique,Flandre,BRABANT FLAMAND,DILBEEK,0,1700,Dilbeek,Localité non DNF,Localité non DNF
L176,Belgique,Flandre,BRABANT FLAMAND,DILBEEK,1,1700,Sint-Martens-Bodegem,Localité non DNF,Localité non DNF
L177,Belgique,Flandre,BRABANT FLAMAND,DILBEEK,1,1700,Sint-Ulriks-Kapelle,Localité non DNF,Localité non DNF
L178,Belgique,Flandre,BRABANT FLAMAND,DILBEEK,1,1701,Itterbeek,Localité non DNF,Localité non DNF
L179,Belgique,Flandre,BRABANT FLAMAND,DILBEEK,1,1702,Groot-Bijgaarden,Localité non DNF,Localité non DNF
L180,Belgique,Flandre,BRABANT FLAMAND,DILBEEK,1,1703,Schepdaal,Localité non DNF,Localité non DNF
L181,Belgique,Flandre,BRABANT FLAMAND,ASSE,0,1730,Asse,Localité non DNF,Localité non DNF
